Time,Machine A,Machine B,Detector α 1,Detector α 2,Detector β 1 ,Detector β 2,Diverter ψ 1,Diverter ψ 2,Detector δ 1,Detector δ 2
hh:mm:ss,RPM,RPM,,,,,,,,
03:28:24,6536,8285,1,1,1,1,1,1,1,1
03:28:29,6536,8285,1,1,1,1,1,1,1,0
03:28:34,6536,8285,1,0,1,1,1,1,1,0
03:28:39,6536,8285,1,0,1,1,1,1,1,1
03:28:44,6536,8285,1,1,1,1,1,1,1,1
03:28:49,6536,8285,0,1,1,1,1,1,1,1
03:28:54,6536,8285,0,1,1,1,1,1,1,1
03:28:59,6536,8285,1,1,1,1,1,1,1,1
03:29:04,6536,8285,1,1,1,1,1,1,1,1
03:29:09,6536,8285,1,1,1,1,1,1,1,1
03:29:14,6536,8285,1,1,1,1,1,1,1,1
03:29:19,6536,8285,1,1,1,1,1,1,1,1
03:29:24,6536,8285,1,1,1,1,1,1,1,1
03:29:29,6536,8285,1,1,1,1,1,1,1,1
03:29:34,6536,8285,1,1,1,1,1,1,1,1
03:29:39,6536,8285,1,1,1,1,1,1,1,1
03:29:44,6536,8285,1,1,1,1,1,1,1,1
03:29:49,6536,8285,1,1,0,1,1,1,1,1
03:29:54,6536,8285,1,1,0,1,1,1,1,1
03:29:59,6536,8285,1,1,1,1,1,1,1,1
03:30:04,6536,8285,1,1,1,1,1,1,0,1
03:30:09,6536,8285,1,1,1,1,1,1,0,1
03:30:14,6536,8285,1,1,1,1,1,1,1,1
03:30:19,6536,8285,1,1,1,1,1,1,1,1
03:30:24,6536,8285,1,1,1,1,1,1,1,1
03:30:29,6536,8285,1,1,1,1,1,1,1,1
03:30:34,6536,8285,1,1,1,1,1,1,1,1
03:30:39,6536,8285,1,1,1,1,1,1,1,1
03:30:44,6536,8285,1,1,1,1,1,1,1,1
03:30:49,6536,8285,1,1,1,0,1,1,1,1
03:30:54,6536,8285,1,1,1,0,1,1,1,1
03:30:59,6536,8285,1,1,1,1,1,1,1,1
03:31:04,6536,8285,1,1,1,1,1,1,1,0
03:31:09,6536,8285,1,0,1,1,1,1,1,0
03:31:14,6536,8285,1,0,1,1,1,1,1,1
03:31:19,6536,8285,1,1,1,1,1,1,1,1
03:31:24,6536,8285,0,1,1,1,1,1,1,1
03:31:29,6536,8285,0,1,1,1,1,1,1,1
03:31:34,6536,8285,1,1,1,1,1,1,1,1
03:31:39,6536,8285,1,1,1,1,1,1,1,1
03:31:44,6536,8285,1,1,1,1,1,1,1,1
03:31:49,6536,8285,1,1,1,1,1,1,1,1
03:31:54,6536,8285,1,1,1,1,1,1,1,1
03:31:59,6536,8285,1,1,1,1,1,1,1,1
03:32:04,6536,8285,1,1,1,1,1,1,1,1
03:32:09,6536,8285,1,1,1,1,1,1,1,1
03:32:14,6536,8285,1,1,1,1,1,1,1,1
03:32:19,6536,8285,1,1,1,1,1,1,1,1
03:32:24,6536,8285,1,1,0,1,1,1,1,1
03:32:29,6536,8285,1,1,1,1,1,1,1,1
03:32:34,6536,8285,1,1,1,1,1,1,1,1
03:32:39,6536,8285,1,1,1,1,1,1,0,1
03:32:44,6536,8285,1,1,1,1,1,1,0,1
03:32:49,6536,8285,1,1,1,1,1,1,1,1
03:32:54,6536,8285,1,1,1,1,1,1,1,1
03:32:59,6536,8285,1,1,1,1,1,1,1,1
03:33:04,6536,8285,1,1,1,1,1,1,1,1
03:33:09,6536,8285,1,1,1,1,1,1,1,1
03:33:14,6536,8285,1,1,1,1,1,1,1,1
03:33:19,6536,8285,1,1,1,1,1,1,1,1
03:33:24,6536,8285,1,1,1,0,1,1,1,1
03:33:29,6536,8285,1,1,1,0,1,1,1,1
03:33:34,6536,8285,1,1,1,1,1,1,1,1
03:33:39,6536,8285,1,0,1,1,1,1,1,0
03:33:44,6536,8285,1,0,1,1,1,1,1,0
03:33:49,6536,8285,1,0,1,1,1,1,1,1
03:33:54,6536,8285,1,1,1,1,1,1,1,1
03:33:59,6536,8285,0,1,1,1,1,1,1,1
03:34:04,6536,8285,0,1,1,1,1,1,1,1
03:34:09,6536,8285,1,1,1,1,1,1,1,1
03:34:14,6536,8285,1,1,1,1,1,1,1,1
03:34:19,6536,8285,1,1,1,1,1,1,1,1
03:34:24,6536,8285,1,1,1,1,1,1,1,1
03:34:29,6536,8285,1,1,1,1,1,1,1,1
03:34:34,6536,8285,1,1,1,1,1,1,1,1
03:34:39,6536,8285,1,1,1,1,1,1,1,1
03:34:44,6536,8285,1,1,1,1,1,1,1,1
03:34:49,6536,8285,1,1,1,1,1,1,1,1
03:34:54,6536,8285,1,1,1,1,1,1,1,1
03:34:59,6536,8285,1,1,0,1,1,1,1,1
03:35:04,6536,8285,1,1,1,1,1,1,1,1
03:35:09,6536,8285,1,1,1,1,1,1,1,1
03:35:14,6536,8285,1,1,1,1,1,1,0,1
03:35:19,6536,8285,1,1,1,1,1,1,0,1
03:35:24,6536,8285,1,1,1,1,1,1,1,1
03:35:29,6536,8285,1,1,1,1,1,1,1,1
03:35:34,6536,8285,1,1,1,1,1,1,1,1
03:35:39,6536,8285,1,1,1,1,1,1,1,1
03:35:44,6536,8285,1,1,1,1,1,1,1,1
03:35:49,6536,8285,1,1,1,1,1,1,1,1
